baseline_id,benchmark_id,mode,success,latency_s,scene_setup,player_state,candidate_actions,suggested_next_step
plan_write_revise,DNQBV1_001,first_playable,True,0.849,i was about to leave for work .,You are the acting protagonist inside the theme '边陲驿站夜谈录'. i was about to leave for work .,Investigate the immediate conflict around 边陲驿站夜谈录. | Secure the most fragile resource or ally in this 现实边陲叙事 scenario. | Confront the source of pressure before the situation worsens.,Advance with one of the candidate actions while preserving the same storyline pressure.
plan_write_revise,DNQBV1_002,first_playable,True,0.681,i walked to the grocery store .,You are the acting protagonist inside the theme '末日温室园丁'. i walked to the grocery store .,Investigate the immediate conflict around 末日温室园丁. | Secure the most fragile resource or ally in this 末日生存 scenario. | Confront the source of pressure before the situation worsens.,Advance with one of the candidate actions while preserving the same storyline pressure.
plan_write_revise,DNQBV1_005,first_playable,True,0.727,i was inside my room .,You are the acting protagonist inside the theme '月球矿难七日'. i was inside my room .,Investigate the immediate conflict around 月球矿难七日. | Secure the most fragile resource or ally in this 近未来科幻灾难 scenario. | Confront the source of pressure before the situation worsens.,Advance with one of the candidate actions while preserving the same storyline pressure.
plan_write_revise,DNQBV1_009,first_playable,True,0.941,i was very disappointed when i saw the news .,You are the acting protagonist inside the theme '茶肆说书人'. i was very disappointed when i saw the news .,Investigate the immediate conflict around 茶肆说书人. | Secure the most fragile resource or ally in this 古风叙事 scenario. | Confront the source of pressure before the situation worsens.,Advance with one of the candidate actions while preserving the same storyline pressure.
plan_write_revise,DNQBV1_018,first_playable,True,0.968,tom was finally old enough to go to the park .,You are the acting protagonist inside the theme '民国电报迷案'. tom was finally old enough to go to the park .,Investigate the immediate conflict around 民国电报迷案. | Secure the most fragile resource or ally in this 近代悬疑 scenario. | Confront the source of pressure before the situation worsens.,Advance with one of the candidate actions while preserving the same storyline pressure.
plan_write_revise,DNQBV1_001,next_turn,True,0.828,i was about to leave for work .,You are the acting protagonist inside the theme '边陲驿站夜谈录'. i was about to leave for work .,Investigate the immediate conflict around 边陲驿站夜谈录. | Secure the most fragile resource or ally in this 现实边陲叙事 scenario. | Confront the source of pressure before the situation worsens.,Chosen action was: Investigate the immediate conflict around 边陲驿站夜谈录.
plan_write_revise,DNQBV1_002,next_turn,True,0.689,i walked to the grocery store .,You are the acting protagonist inside the theme '末日温室园丁'. i walked to the grocery store .,Investigate the immediate conflict around 末日温室园丁. | Secure the most fragile resource or ally in this 末日生存 scenario. | Confront the source of pressure before the situation worsens.,Chosen action was: Investigate the immediate conflict around 末日温室园丁.
plan_write_revise,DNQBV1_005,next_turn,True,0.778,i was inside my room .,You are the acting protagonist inside the theme '月球矿难七日'. i was inside my room .,Investigate the immediate conflict around 月球矿难七日. | Secure the most fragile resource or ally in this 近未来科幻灾难 scenario. | Confront the source of pressure before the situation worsens.,Chosen action was: Investigate the immediate conflict around 月球矿难七日.
plan_write_revise,DNQBV1_009,next_turn,True,0.963,i was very disappointed when i saw the news .,You are the acting protagonist inside the theme '茶肆说书人'. i was very disappointed when i saw the news .,Investigate the immediate conflict around 茶肆说书人. | Secure the most fragile resource or ally in this 古风叙事 scenario. | Confront the source of pressure before the situation worsens.,Chosen action was: Investigate the immediate conflict around 茶肆说书人.
plan_write_revise,DNQBV1_018,next_turn,True,0.929,tom was finally old enough to go to the park .,You are the acting protagonist inside the theme '民国电报迷案'. tom was finally old enough to go to the park .,Investigate the immediate conflict around 民国电报迷案. | Secure the most fragile resource or ally in this 近代悬疑 scenario. | Confront the source of pressure before the situation worsens.,Chosen action was: Investigate the immediate conflict around 民国电报迷案.
